iter	Passed	Remaining
422	2735	3731
423	2750	3735
424	2793	3779
425	2796	3767
426	2798	3754
427	2814	3761
428	2816	3748
429	2825	3745
430	2828	3733
431	2839	3733
432	2850	3732
433	2855	3724
434	2857	3711
435	2861	3700
436	2916	3757
437	2921	3748
438	2928	3742
439	2932	3732
440	2936	3722
441	2943	3716
442	2948	3706
443	2950	3694
444	2969	3703
445	2979	3700
446	2980	3687
447	2982	3674
448	3033	3723
449	3039	3715
450	3045	3706
451	3046	3694
452	3062	3697
453	3064	3685
454	3071	3679
455	3087	3683
456	3091	3673
457	3093	3660
458	3094	3647
459	3142	3689
460	3144	3676
461	3157	3676
462	3159	3664
463	3172	3665
464	3174	3652
465	3176	3639
466	3181	3630
467	3186	3622
468	3188	3610
469	3191	3598
470	3198	3592
471	3238	3622
472	3240	3610
473	3252	3609
474	3254	3597
475	3256	3584
476	3267	3582
477	3269	3570
478	3271	3557
479	3272	3545
480	3285	3544
481	3289	3535
482	3293	3525
483	3303	3521
484	3307	3511
485	3309	3500
486	3327	3504
487	3339	3503
488	3341	3491
489	3343	3479
490	3353	3476
491	3356	3465
492	3365	3461
493	3368	3450
494	3370	3439
495	3376	3431
496	3379	3420
497	3401	3428
498	3417	3431
499	3419	3419
500	3426	3412
501	3446	3418
502	3448	3407
503	3495	3440
504	3499	3430
505	3502	3419
506	3507	3410
507	3509	3398
508	3512	3388
509	3562	3422
510	3622	3466
511	3626	3456
512	3633	3449
513	3637	3439
514	3643	3430
515	3648	3422
516	3652	3412
517	3656	3402
518	3664	3395
519	3752	3464
520	3756	3453
521	3762	3445
522	3764	3433
523	3766	3421
524	3767	3408
525	3772	3399
526	3774	3387
527	3775	3375
528	3777	3363
529	3779	3351
530	3780	3339
531	3782	3327
532	3787	3318
533	3859	3367
534	3861	3355
535	3863	3344
536	3866	3333
537	3871	3324
538	3875	3314
539	3876	3302
540	3878	3290
541	3880	3279
542	3890	3274
543	3894	3264
544	3906	3261
545	3961	3294
546	3965	3284
547	3990	3291
548	3992	3280
549	3995	3268
550	4007	3265
551	4011	3255
552	4020	3249
553	4022	3238
554	4037	3237
555	4039	3226
556	4053	3223
557	4074	3227
558	4089	3226
559	4101	3222
560	4104	3211
561	4106	3200
562	4121	3198
563	4122	3187
564	4138	3185
565	4139	3174
566	4185	3196
567	4187	3185
568	4198	3180
569	4230	3191
570	4238	3184
571	4248	3178
572	4250	3167
573	4251	3155
574	4262	3150
575	4263	3138
576	4265	3127
577	4267	3115
578	4269	3104
579	4279	3098
580	4282	3088
581	4323	3105
582	4327	3095
583	4329	3084
584	4331	3072
585	4345	3069
586	4350	3060
587	4360	3055
588	4363	3044
589	4365	3033
590	4372	3026
591	4381	3019
592	4384	3009
593	4400	3007
594	4403	2997
595	4405	2986
596	4407	2975
597	4414	2967
598	4420	2959
599	4422	2948
600	4432	2942
601	4435	2932
602	4456	2933
603	4468	2929
604	4470	2918
605	4489	2919
606	4496	2910
607	4498	2900
608	4499	2889
609	4501	2877
610	4525	2881
611	4529	2871
612	4531	2860
613	4533	2849
614	4562	2855
615	4564	2845
616	4596	2853
617	4598	2842
618	4600	2831
619	4602	2820
620	4604	2809
621	4650	2826
622	4652	2815
623	4654	2804
624	4662	2797
625	4665	2787
626	4667	2776
627	4700	2784
628	4702	2773
629	4711	2766
630	4714	2756
631	4716	2746
632	4718	2735
633	4729	2730
634	4731	2719
635	4733	2708
636	4744	2703
637	4746	2693
638	4748	2682
639	4750	2672
640	4761	2666
641	4794	2673
642	4860	2698
643	4862	2688
644	4864	2677
645	4866	2666
646	4877	2661
647	4880	2651
648	4882	2640
649	4884	2630
650	4886	2619
651	4897	2613
652	4899	2603
653	4947	2617
654	4949	2606
655	4951	2596
656	4984	2602
657	4992	2594
658	4997	2586
659	5014	2583
660	5015	2572
661	5018	2562
662	5030	2556
663	5032	2546
664	5046	2541
665	5047	2531
666	5126	2559
667	5181	2575
668	5182	2564
669	5195	2559
670	5197	2548
671	5199	2537
672	5207	2530
673	5209	2519
674	5210	2508
675	5212	2498
676	5223	2491
677	5276	2505
678	5278	2495
679	5282	2485
680	5284	2475
681	5286	2465
682	5301	2460
683	5309	2452
684	5312	2442
685	5330	2440
686	5332	2429
687	5334	2419
688	5343	2411
689	5431	2440
690	5433	2429
691	5434	2418
692	5436	2408
693	5438	2397
694	5452	2392
695	5454	2382
696	5467	2376
697	5470	2366
698	5483	2361
699	5485	2350
700	5486	2340
701	5493	2332
702	5500	2323
703	5501	2313
704	5528	2313
705	5531	2303
706	5533	2293
707	5535	2282
708	5547	2276
709	5549	2266
710	5552	2256
711	5558	2248
712	5560	2238
713	5563	2228
714	5609	2235
715	5611	2225
716	5613	2215
717	5625	2209
718	5686	2222
719	5690	2213
720	5693	2203
721	5708	2198
722	5711	2188
723	5719	2180
724	5724	2171
725	5735	2164
726	5737	2154
727	5740	2144
728	5742	2134
729	5750	2126
730	5802	2135
731	5820	2130
732	5821	2120
733	5824	2110
734	5833	2103
735	5835	2093
736	5838	2083
737	5840	2073
738	5849	2065
739	5853	2056
740	5856	2047
741	5864	2039
742	5882	2034
743	5889	2026
744	5895	2017
745	5899	2008
746	5902	1999
747	5911	1991
748	5915	1982
749	5918	1972
750	5928	1965
751	5935	1957
752	5950	1951
753	5952	1942
754	5961	1934
755	5967	1925
756	5969	1916
757	5975	1907
758	5977	1897
759	5981	1888
760	5983	1879
761	5991	1871
762	6001	1864
763	6005	1855
764	6014	1847
765	6017	1838
766	6018	1828
767	6020	1818
768	6022	1809
769	6029	1801
770	6032	1791
771	6035	1782
772	6064	1780
773	6077	1774
774	6081	1765
775	6085	1756
776	6090	1747
777	6092	1738
778	6107	1732
779	6109	1723
780	6117	1715
781	6121	1706
782	6139	1701
783	6141	1692
784	6152	1685
785	6156	1676
786	6157	1666
787	6179	1662
788	6187	1654
789	6189	1645
790	6195	1636
791	6201	1628
792	6238	1628
793	6247	1620
794	6252	1612
795	6254	1602
796	6262	1595
797	6264	1585
798	6266	1576
799	6270	1567
800	6277	1559
801	6332	1563
802	6335	1554
803	6337	1545
804	6341	1536
805	6344	1527
806	6347	1518
807	6352	1509
808	6357	1500
809	6360	1491
810	6363	1482
811	6373	1475
812	6375	1466
813	6383	1458
814	6399	1452
815	6403	1443
816	6405	1434
817	6407	1425
818	6418	1418
819	6424	1410
820	6435	1403
821	6439	1394
822	6448	1386
823	6470	1382
824	6474	1373
825	6480	1365
826	6482	1356
827	6484	1347
828	6499	1340
829	6511	1333
830	6544	1330
831	6546	1321
832	6548	1312
833	6550	1303
834	6559	1296
835	6561	1287
836	6592	1283
837	6596	1275
838	6598	1266
839	6601	1257
840	6617	1251
841	6628	1243
842	6634	1235
843	6640	1227
844	6645	1218
845	6673	1214
846	6676	1205
847	6677	1196
848	6687	1189
849	6691	1180
850	6692	1171
851	6705	1164
852	6708	1156
853	6715	1148
854	6720	1139
855	6741	1134
856	6755	1127
857	6757	1118
858	6769	1111
859	6772	1102
860	6774	1093
861	6798	1088
